case,variant,threads,run,n,seconds,checksum,aux
case_b,parallel,8,1,10000000,0.019352000,286773264.832031250000,12.421875000000
case_b,parallel,8,2,10000000,0.017501000,286773264.832031250000,12.421875000000
case_b,parallel,8,3,10000000,0.016606000,286773264.832031250000,12.421875000000
case_b,parallel,8,4,10000000,0.016361000,286773264.832031250000,12.421875000000
case_b,parallel,8,5,10000000,0.016953000,286773264.832031250000,12.421875000000
case_c_twice0,original,1,1,12000000,0.019170000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,1,1,12000000,0.016646000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,1,2,12000000,0.015655000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,1,3,12000000,0.016001000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,1,4,12000000,0.019075000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,1,5,12000000,0.016440000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,2,1,12000000,0.012138000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,2,2,12000000,0.012844000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,2,3,12000000,0.011864000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,2,4,12000000,0.013234000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,2,5,12000000,0.013858000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,4,1,12000000,0.011900000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,4,2,12000000,0.012401000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,4,3,12000000,0.011274000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,4,4,12000000,0.010463000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,4,5,12000000,0.011561000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,8,1,12000000,0.010505000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,8,2,12000000,0.010816000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,8,3,12000000,0.010932000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,8,4,12000000,0.010507000,304457535.625000000000,18.524414062500
case_c_twice0,parallel,8,5,12000000,0.011649000,304457535.625000000000,18.524414062500
case_c_twice1,original,1,1,12000000,0.018580000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,1,1,12000000,0.021856000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,1,2,12000000,0.019129000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,1,3,12000000,0.018973000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,1,4,12000000,0.018432000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,1,5,12000000,0.018675000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,2,1,12000000,0.014463000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,2,2,12000000,0.013065000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,2,3,12000000,0.013818000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,2,4,12000000,0.014270000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,2,5,12000000,0.012951000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,4,1,12000000,0.011190000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,4,2,12000000,0.011239000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,4,3,12000000,0.011370000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,4,4,12000000,0.012225000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,4,5,12000000,0.011929000,608915043.767578125000,37.048828125000
case_c_twice1,parallel,8,1,12000000,0.011587000,608915043.767578125000,37.048828125000
